id	name	category
NCBITaxon:1628085	Agathobaculum butyriciproducens	biolink:OrganismTaxon
NCBITaxon:1660	Schaalia odontolytica	biolink:OrganismTaxon
NCBITaxon:68892	Streptococcus infantis	biolink:OrganismTaxon
NCBITaxon:43675	Rothia mucilaginosa	biolink:OrganismTaxon
NCBITaxon:187326	Megasphaera micronuciformis	biolink:OrganismTaxon
NCBITaxon:1263000	Firmicutes bacterium CAG:110	biolink:OrganismTaxon
MESH:D034363	Viridans Streptococci	biolink:OrganismTaxon
NCBITaxon:329854	Bacteroides intestinalis	biolink:OrganismTaxon
NCBITaxon:999425	Streptococcus sp. F0442	biolink:OrganismTaxon
NCBITaxon:1262882	Eubacterium sp. CAG:180	biolink:OrganismTaxon
NCBITaxon:28037	Streptococcus mitis	biolink:OrganismTaxon
NCBITaxon:154288	Turicibacter sanguinis	biolink:OrganismTaxon
NCBITaxon:626940	Phascolarctobacterium succinatutens	biolink:OrganismTaxon
NCBITaxon:333367	Enterocloster asparagiformis	biolink:OrganismTaxon
NCBITaxon:1262924	Prevotella sp. CAG:279	biolink:OrganismTaxon
NCBITaxon:1263006	Firmicutes bacterium CAG:170	biolink:OrganismTaxon
NCBITaxon:1686	Bifidobacterium catenulatum	biolink:OrganismTaxon
NCBITaxon:28118	Odoribacter splanchnicus	biolink:OrganismTaxon
NCBITaxon:823	Parabacteroides distasonis	biolink:OrganismTaxon
NCBITaxon:437897	Megamonas funiformis	biolink:OrganismTaxon
NCBITaxon:1639133	Citrobacter portucalensis	biolink:OrganismTaxon
NCBITaxon:158847	Megamonas hypermegale	biolink:OrganismTaxon
NCBITaxon:39490	Eubacterium ramulus	biolink:OrganismTaxon
NCBITaxon:1262911	Oscillibacter sp. CAG:241	biolink:OrganismTaxon
NCBITaxon:28111	Bacteroides eggerthii	biolink:OrganismTaxon
NCBITaxon:114527	Mogibacterium diversum	biolink:OrganismTaxon
UMLS:C2718297	Klebsiella aerogenes biovar pneumoniae	biolink:OrganismTaxon
NCBITaxon:745368	Gemmiger formicilis	biolink:OrganismTaxon
NCBITaxon:46228	[Ruminococcus] lactaris	biolink:OrganismTaxon
NCBITaxon:861	Fusobacterium ulcerans	biolink:OrganismTaxon
NCBITaxon:371601	Bacteroides xylanisolvens	biolink:OrganismTaxon
NCBITaxon:1735	Holdemanella biformis	biolink:OrganismTaxon
NCBITaxon:487174	Barnesiella intestinihominis	biolink:OrganismTaxon
NCBITaxon:29391	Gemella morbillorum	biolink:OrganismTaxon
NCBITaxon:214856	Alistipes finegoldii	biolink:OrganismTaxon
NCBITaxon:1313	Streptococcus pneumoniae	biolink:OrganismTaxon
NCBITaxon:454155	Paraprevotella xylaniphila	biolink:OrganismTaxon
NCBITaxon:338188	Bacteroides finegoldii	biolink:OrganismTaxon
NCBITaxon:1965604	Anaeromassilibacillus sp. An250	biolink:OrganismTaxon
NCBITaxon:358742	Enterocloster aldenensis	biolink:OrganismTaxon
NCBITaxon:40519	Ruminococcus callidus	biolink:OrganismTaxon
NCBITaxon:61171	Holdemania filiformis	biolink:OrganismTaxon
NCBITaxon:674529	Bacteroides faecis	biolink:OrganismTaxon
NCBITaxon:209880	Allisonella histaminiformans	biolink:OrganismTaxon
NCBITaxon:1432052	Eisenbergiella tayi	biolink:OrganismTaxon
NCBITaxon:1303	Streptococcus oralis	biolink:OrganismTaxon
NCBITaxon:328814	Alistipes shahii	biolink:OrganismTaxon
NCBITaxon:1318	Streptococcus parasanguinis	biolink:OrganismTaxon
NCBITaxon:454154	Paraprevotella clara	biolink:OrganismTaxon
NCBITaxon:460384	Enterocloster lavalensis	biolink:OrganismTaxon
NCBITaxon:1297617	Intestinimonas butyriciproducens	biolink:OrganismTaxon
NCBITaxon:1262889	Eubacterium sp. CAG:38	biolink:OrganismTaxon
NCBITaxon:1608898	Haemophilus sp. HMSC71H05	biolink:OrganismTaxon
NCBITaxon:729	Haemophilus parainfluenzae	biolink:OrganismTaxon
NCBITaxon:328812	Parabacteroides goldsteinii	biolink:OrganismTaxon
NCBITaxon:1262756	Blautia sp. CAG:257	biolink:OrganismTaxon
NCBITaxon:1322	Blautia hansenii	biolink:OrganismTaxon
NCBITaxon:423477	Veillonella rogosae	biolink:OrganismTaxon
NCBITaxon:2108523	Lawsonibacter asaccharolyticus	biolink:OrganismTaxon
NCBITaxon:74426	Collinsella aerofaciens	biolink:OrganismTaxon
NCBITaxon:166486	Roseburia intestinalis	biolink:OrganismTaxon
NCBITaxon:546	Citrobacter freundii	biolink:OrganismTaxon
NCBITaxon:84024	Clostridium disporicum	biolink:OrganismTaxon
NCBITaxon:33043	Coprococcus eutactus	biolink:OrganismTaxon
NCBITaxon:2026240	Klebsiella quasivariicola	biolink:OrganismTaxon
NCBITaxon:410072	Coprococcus comes	biolink:OrganismTaxon
NCBITaxon:1309	Streptococcus mutans	biolink:OrganismTaxon
NCBITaxon:29361	[Clostridium] nexile	biolink:OrganismTaxon
NCBITaxon:97478	Limosilactobacillus mucosae	biolink:OrganismTaxon
NCBITaxon:147207	Collinsella intestinalis	biolink:OrganismTaxon
NCBITaxon:147206	Collinsella stercoris	biolink:OrganismTaxon
NCBITaxon:40520	Blautia obeum	biolink:OrganismTaxon
NCBITaxon:116085	Coprococcus catus	biolink:OrganismTaxon
NCBITaxon:573	Klebsiella pneumoniae	biolink:OrganismTaxon
NCBITaxon:539813	Enterobacter mori	biolink:OrganismTaxon
NCBITaxon:301302	Roseburia faecis	biolink:OrganismTaxon
NCBITaxon:31971	Amedibacillus dolichus	biolink:OrganismTaxon
NCBITaxon:1531	Enterocloster clostridioformis	biolink:OrganismTaxon
NCBITaxon:33025	Phascolarctobacterium faecium	biolink:OrganismTaxon
NCBITaxon:1463165	Klebsiella quasipneumoniae	biolink:OrganismTaxon
NCBITaxon:33038	Mediterraneibacter gnavus	biolink:OrganismTaxon
NCBITaxon:1911679	Veillonella infantium	biolink:OrganismTaxon
NCBITaxon:1115758	Romboutsia ilealis	biolink:OrganismTaxon
NCBITaxon:907	Megasphaera elsdenii	biolink:OrganismTaxon
UMLS:C1532308	Enterobacter cloacae complex	biolink:OrganismTaxon
NCBITaxon:1302	Streptococcus gordonii	biolink:OrganismTaxon
UMLS:C1075197	Klebsiella singaporensis	biolink:OrganismTaxon
NCBITaxon:1535	[Clostridium] leptum	biolink:OrganismTaxon
NCBITaxon:291644	Bacteroides salyersiae	biolink:OrganismTaxon
NCBITaxon:358743	Enterocloster citroniae	biolink:OrganismTaxon
NCBITaxon:1689	Bifidobacterium dentium	biolink:OrganismTaxon
NCBITaxon:1512	[Clostridium] symbiosum	biolink:OrganismTaxon
NCBITaxon:39496	Eubacterium ventriosum	biolink:OrganismTaxon
NCBITaxon:1262888	Eubacterium sp. CAG:274	biolink:OrganismTaxon
NCBITaxon:571	Klebsiella oxytoca	biolink:OrganismTaxon
NCBITaxon:292800	Flavonifractor plautii	biolink:OrganismTaxon
NCBITaxon:218538	Dialister invisus	biolink:OrganismTaxon
NCBITaxon:39777	Veillonella atypica	biolink:OrganismTaxon
NCBITaxon:544645	Butyricimonas virosa	biolink:OrganismTaxon
NCBITaxon:1262944	Roseburia sp. CAG:303	biolink:OrganismTaxon
NCBITaxon:1099853	Coprobacter fastidiosus	biolink:OrganismTaxon
NCBITaxon:1262824	Clostridium sp. CAG:58	biolink:OrganismTaxon
NCBITaxon:387661	Parabacteroides johnsonii	biolink:OrganismTaxon
NCBITaxon:1262783	Clostridium sp. CAG:242	biolink:OrganismTaxon
NCBITaxon:1262992	Firmicutes bacterium CAG:83	biolink:OrganismTaxon
NCBITaxon:1796652	Turicimonas muris	biolink:OrganismTaxon
NCBITaxon:544644	Butyricimonas synergistica	biolink:OrganismTaxon
NCBITaxon:1262988	Firmicutes bacterium CAG:95	biolink:OrganismTaxon
NCBITaxon:29466	Veillonella parvula	biolink:OrganismTaxon
NCBITaxon:1624	Ligilactobacillus salivarius	biolink:OrganismTaxon
NCBITaxon:487175	Parasutterella excrementihominis	biolink:OrganismTaxon
NCBITaxon:39778	Veillonella dispar	biolink:OrganismTaxon
NCBITaxon:626929	Bacteroides clarus	biolink:OrganismTaxon
NCBITaxon:133448	Citrobacter youngae	biolink:OrganismTaxon
NCBITaxon:626932	Alistipes indistinctus	biolink:OrganismTaxon
CHEBI:16176	D-ornithine	biolink:SmallMolecule
CHEBI:18127	Cadaverine	biolink:SmallMolecule
CHEBI:22660	aspartic acid	biolink:SmallMolecule
CHEBI:42717	alpha-D-glucuronic acid	biolink:SmallMolecule
CHEBI:57540	NAD(1-)	biolink:SmallMolecule
CHEBI:15891	Taurine	biolink:SmallMolecule
CHEBI:21547	N-acetyl-L-aspartic acid	biolink:SmallMolecule
CHEBI:17533	N-Acetyl-L-Glutamate	biolink:SmallMolecule
CHEBI:17968	butyrate	biolink:SmallMolecule
CHEBI:17596	Inosine	biolink:SmallMolecule
CHEBI:76273	Dodecanedioate	biolink:SmallMolecule
CHEBI:16822	choline sulfate	biolink:SmallMolecule
CHEBI:64552	2-hydroxybutyrate	biolink:SmallMolecule
CHEBI:17154	Nicotinamide	biolink:SmallMolecule
PUBCHEM.COMPOUND:53481006	Adenosine 2'-phosphate	biolink:SmallMolecule
PUBCHEM.COMPOUND:44440212	UDP-N-acetyl-glucosamine	biolink:SmallMolecule
NCBIGene:9269129	LOC9269129	biolink:Gene
CHEBI:43796	(S)-lipoic acid	biolink:SmallMolecule
CHEBI:30031	succinate(2-)	biolink:SmallMolecule
CHEBI:29972	L-glutamic acid residue	biolink:SmallMolecule
CHEBI:29997	L-phenylalanine residue	biolink:SmallMolecule
CHEBI:30009	L-isoleucine residue	biolink:SmallMolecule
